AmphoraIdentifier,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionPlaceTitle,,,,,,,,,
14529,14529,Dressel 20,Bad Wimpfen,Bad Wimpfen,49.229708,9.156485,L'·I'[T],LIT,,,,,,,,,,,
14626,14626,Dressel 20,Bad Wimpfen,a. 1892 vor der Kirche,49.229708,9.156485,|Q·M·M·CER|,QMMCER,,Villaseca,,,,,,,,,
14640,14640,Dressel 20,Bad Wimpfen,Kastellvicus,49.229708,9.156485,|QMR|,QMR,,,,,,,,,,,
14739,14739,Dressel 20,Bad Wimpfen,Bad Wimpfen,49.229708,9.156485,P'OROD'[V],POROCODV? (BOROCODV?),,La Catria,,,,,,,,,
20658,20658,Dressel 20,Bad Wimpfen,Bad Wimpfen,49.229708,9.156485,[L]FCCVCA'[T],LFCCVCAT,,Isla del Castillo,,,,,,,,,
20658,20658,Dressel 20,Bad Wimpfen,Bad Wimpfen,49.229708,9.156485,[L]FCCVCA'[T],LFCCVCAT,,Las Ánimas,,,,,,,,,
13952,13952,Dressel 20,Benningen,Benningen,47.968555,10.21178,|CAFSM| & |CAFFM|,CAFSM & CAFFM,,,,,,,,,,,
14589,14589,Dressel 20,Bingen,Bingen,49.966747,7.899198,"IIIVNMELISSIETMELISSE, sine imagine",IIIVNMELISSIETMELISSE,,Las Delicias,,,,,,,,,
14794,14794,Dressel 20,Bingen,Bingen,49.966747,7.899198,"MQFF, sine imagine",MQFF,,Malpica Sur,,,,,,,,,
14937,14937,Dressel 20,Bingen,Bingerbrﾁck,49.966747,7.899198,"FSCIMNIANO, sine imagine",FSCIMNIANO,,Las Delicias,,,,,,,,,
14237,14237,Dressel 20,Bingerbrﾁck,beim Bau der linksrheinischen Eisenbahn,49.966116,7.88476,"CALPVRNI, sine imagine",CALPVRNI,,,,,,,,,,,
14038,14038,Dressel 20,Bonn,Bonn,50.73438,7.095485,"CANTQVIETI, sine imagine",CANTQVIETI,,,,,,,,,,,
14073,14073,Dressel 20,Bonn,"vor dem K?lner Tor, sog.Exerierplatz",50.73438,7.095485,"ACIRGIF, sine imagine",ACIRGIF,,,,,,,,,,,
14088,14088,Dressel 20,Bonn,"vom dem K?lner Tor, sog. Exerzierplatz",50.73438,7.095485,"ACIRGI, sine imagine",ACIRGI,,Itálica,,,,,,,,,
14099,14099,Dressel 20,Bonn,"Württembergerstrasse/ Thüringerstrasse, Am Schäzchen",50.73438,7.095485,|AGRI{CO}LA^E|,AGRICOLAE,,Casa de Mingaobez,,,,,,,,,
14220,14220,Dressel 20,Bonn,Bonn,50.73438,7.095485,"IICAMILIMELISSI, sine imagine",IICAMILIMELISSI,,Arva,,,,,,,,,
14220,14220,Dressel 20,Bonn,Bonn,50.73438,7.095485,"IICAMILIMELISSI, sine imagine",IICAMILIMELISSI,,Las Delicias,,,,,,,,,
14233,14233,Dressel 20,Bonn,"vor dem K?lner Tor, sog. Exerzierplatz",50.73438,7.095485,"CCRASSISAI, sine imagine",CCRASSISAI,,,,,,,,,,,
