id,lat,long,type,site,code,place
15778,55.9,-4.233333,Dressel 20,Bishopbriggs,MCPRI,Britania
15815,55.9,-4.233333,Dressel 20,Bishopbriggs,MMCSVR,Britania
15816,55.9,-4.233333,Dressel 20,Bishopbriggs,MMCSVR,Britania
15818,55.9,-4.233333,Dressel 20,Bishopbriggs,MMCSVR,Britania
16325,55.9,-4.233333,Dressel 20,Bishopbriggs,MCPRI,Britania
16378,55.9,-4.233333,Dressel 20,Bishopbriggs,QMR,Britania
16502,55.9,-4.233333,Dressel 20,Bishopbriggs,SNR,Britania
16505,55.9,-4.233333,Dressel 20,Bishopbriggs,SNR,Britania
16547,55.9,-4.233333,Dressel 20,Bishopbriggs,DOMS,Britania
16553,55.9,-4.233333,Dressel 20,Bishopbriggs,DOMS,Britania
16740,55.9,-4.233333,Dressel 20,Bishopbriggs,ASAV,Britania
17078,55.9,-4.233333,Dressel 20,Bishopbriggs,VIRAV,Britania
17079,55.9,-4.233333,Dressel 20,Bishopbriggs,VIRAV,Britania
17151,55.9,-4.233333,Dressel 20,Bishopbriggs,Q,Britania
17158,55.9,-4.233333,Dressel 20,Bishopbriggs,QV,Britania
17171,55.9,-4.233333,Dressel 20,Bishopbriggs,AAF,Britania
17191,55.9,-4.233333,Dressel 20,Bishopbriggs,EAT,Britania
15817,55.9,-4.5,Dressel 20,Bishopton,MMCSVR,Britania
16357,55.9,-4.5,Dressel 20,Bishopton,MMF,Britania
16851,56.016667,-3.616667,Dressel 20,Bo'ness,SAXOFERREO,Britania
15940,53.183333,-0.466667,Dressel 20,Branston,EROTIS,Britania
15557,51.95,-3.383333,Dressel 20,Brecon Gaer,PANR,Britania
16096,51.85,-2.166667,Dressel 20,Brockworth,QIAF,Britania
16282,53.166667,-3,Dressel 20,Broughton,MP,Britania
16683,53.166667,-3,Dressel 20,Broughton,GRADOS,Britania
16770,53.166667,-3,Dressel 20,Broughton,MSMACIRGI,Britania
16122,52.25,0.716667,Dressel 20,Bury Saint Edmunds,LID,Britania
16511,52.25,0.716667,Dressel 20,Bury Saint Edmunds,SNR,Britania
15391,53.216667,-3.833333,Dressel 20,Caerhun,GAF,Britania
16018,53.216667,-3.833333,Dressel 20,Caerhun,LFO,Britania
16307,53.216667,-3.833333,Dressel 20,Caerhun,ALFO,Britania
16617,53.216667,-3.833333,Dressel 20,Caerhun,PASSERAR,Britania
16870,53.216667,-3.833333,Dressel 20,Caerhun,SCALENSIA,Britania
15386,51.613333,-2.958889,Dressel 20,Caerleon,MAC,Britania
15393,51.613333,-2.958889,Dressel 20,Caerleon,GAF,Britania
15450,51.613333,-2.958889,Dressel 20,Caerleon,LAP,Britania
15531,51.613333,-2.958889,Dressel 20,Caerleon,MAEMRVS,Britania
15534,51.613333,-2.958889,Dressel 20,Caerleon,MAEMRVS,Britania
15598,51.613333,-2.958889,Dressel 20,Caerleon,CANTQVIE,Britania
15605,51.613333,-2.958889,Dressel 20,Caerleon,CANTQVIETI,Britania
15633,51.613333,-2.958889,Dressel 20,Caerleon,CAPF,Britania
15698,51.613333,-2.958889,Dressel 20,Caerleon,BELLVC,Britania
15772,51.613333,-2.958889,Dressel 20,Caerleon,LCM,Britania
15983,51.613333,-2.958889,Dressel 20,Caerleon,QFC,Britania
15998,51.613333,-2.958889,Dressel 20,Caerleon,SFE,Britania
16000,51.613333,-2.958889,Dressel 20,Caerleon,DEF,Britania
16065,51.613333,-2.958889,Dressel 20,Caerleon,HERMESF,Britania
16217,51.613333,-2.958889,Dressel 20,Caerleon,IVEP,Britania
16285,51.613333,-2.958889,Dressel 20,Caerleon,NIMELISSETMELISSE,Britania
16319,51.613333,-2.958889,Dressel 20,Caerleon,AELFO,Britania
16336,51.613333,-2.958889,Dressel 20,Caerleon,PLS,Britania
16397,51.613333,-2.958889,Dressel 20,Caerleon,PMSC,Britania
16438,51.613333,-2.958889,Dressel 20,Caerleon,IIMINIACRETCAL,Britania
16484,51.613333,-2.958889,Dressel 20,Caerleon,PNN,Britania
16526,51.613333,-2.958889,Dressel 20,Caerleon,COI,Britania
16549,51.613333,-2.958889,Dressel 20,Caerleon,DOM,Britania
16554,51.613333,-2.958889,Dressel 20,Caerleon,DOMS,Britania
16560,51.613333,-2.958889,Dressel 20,Caerleon,DO,Britania
16570,51.613333,-2.958889,Dressel 20,Caerleon,PORODV,Britania
16660,51.613333,-2.958889,Dressel 20,Caerleon,LQHEDERAS,Britania
16661,51.613333,-2.958889,Dressel 20,Caerleon,LQS,Britania
16711,51.613333,-2.958889,Dressel 20,Caerleon,ROM,Britania
16727,51.613333,-2.958889,Dressel 20,Caerleon,PORPS,Britania
16916,51.613333,-2.958889,Dressel 20,Caerleon,FSCIMNIANO,Britania
16987,51.613333,-2.958889,Dressel 20,Caerleon,SEX,Britania
17055,51.613333,-2.958889,Dressel 20,Caerleon,LVALERITROPHIMI,Britania
17056,51.613333,-2.958889,Dressel 20,Caerleon,LVALTROPHIMI,Britania
17095,51.613333,-2.958889,Dressel 20,Caerleon,VIRG,Britania
15563,53.15,-4.266667,Dressel 20,Caernarfon,QANTALB,Britania
15582,53.15,-4.266667,Dressel 20,Caernarfon,CANT,Britania
15912,53.15,-4.266667,Dressel 20,Caernarfon,CENHISPSAE,Britania
16017,53.15,-4.266667,Dressel 20,Caernarfon,LFOPALMA,Britania
16118,53.15,-4.266667,Dressel 20,Caernarfon,QICSEG,Britania
16763,53.15,-4.266667,Dressel 20,Caernarfon,LSLVPI,Britania
16780,53.15,-4.266667,Dressel 20,Caernarfon,LSPBO,Britania
17113,53.15,-4.266667,Dressel 20,Caernarfon,C,Britania
16316,51.583333,-3.216667,Dressel 20,Caerphilly,AELFO,Britania
