,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionDateStartYear,ProductionDateEndYear,ProductionPlaceTitle,CountryTitle
,20439,Dressel 20,Bardon Mill,Période VIA-B (180-212),54.966667,-2.333333,[AGRI]COLAE|,AGRICOLAE,,180,212,Casa de Mingaobez,United Kingdom
,20440,Dressel 20,Bardon Mill,Période VIA-B (180-212),54.966667,-2.333333,|L[·]C[·]F[·]P·C·E|,LCFPCE,,180,212,,United Kingdom
,20441,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,GEN[ETIV],GENETIV,,212,300,,United Kingdom
,20442,Dressel 20,Bardon Mill,Période V (120-140),54.966667,-2.333333,[HISPS]A^EN[I]((corona))|,HISPSAENI,,120,140,huerta del río,United Kingdom
,20443,Dressel 20,Bardon Mill,Période VIA (180-200),54.966667,-2.333333,|IVLT'EREN''*,IVLTEREN,,180,200,Malpica Sur,United Kingdom
,20444,Dressel 20,Bardon Mill,Période V ou VI (120-180),54.966667,-2.333333,[?]MV|,…MV,,120,180,,United Kingdom
,20445,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|Q·M·MCER|,QMMCER,,212,300,Villaseca,United Kingdom
,20446,Dressel 20,Bardon Mill,Période V ou VI (120-180),54.966667,-2.333333,|C·ST^E^R·PA^V^LL^IN^I''*,CSTERPAVLLINI,,120,180,Las Sesenta,United Kingdom
,20447,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|[PV]A^L'FA^VSSC~O''R|,PVALFAVSSCOR,,212,300,,United Kingdom
,20448,Dressel 20,Bardon Mill,Période V ou VI (120-180),54.966667,-2.333333,|G+ & |Q+,G+ & Q+,,120,180,,United Kingdom
,20449,Dressel 20,Bardon Mill,Période IV ou V (105-140),54.966667,-2.333333,[M·[AEME],MAEME,,105,140,Arva,United Kingdom
,20450,Dressel 20,Bardon Mill,Période IV ou V (105-140),54.966667,-2.333333,|SA[X]O[FER] & |SA[XFER],SAXOFER & SAXFER,,105,140,,United Kingdom
,20451,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,+OO|,…OO,,,,,United Kingdom
,32250,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,Aemiliorvm et / Cassiorvm,Aemiliorvm et Cassiorvm,,,,,United Kingdom
,32250,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,C[?]III,CIII {103},,,,,United Kingdom
,32250,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,[---]leontini aaaa ccxx seren[---],...leontini aaaa ccxx seren...,,,,,United Kingdom
,32250,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,VLXXVI,VLXXVI,,,,,United Kingdom
,32251,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,CXC[---],CXC... {+190},,,,,United Kingdom
,32252,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,CCVVVI,CCVVVI {216},,,,,United Kingdom
,32253,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,Mont[ani],Montani,,,,,United Kingdom
,33382,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,|AP((amphora))''+,AP…,,,,,United Kingdom
,33383,Dressel 20,Bardon Mill,Period X,54.966667,-2.333333,|APN|,APN,,401,500,,United Kingdom
,33384,Dressel 20,Bardon Mill,Period IX,54.966667,-2.333333,CAN^TQ+,CANTQ…,,370,370,,United Kingdom
,33385,Dressel 20,Bardon Mill,Period VI-VII,54.966667,-2.333333,|F·SCIM|/|NIANO|,FSCIMNIANO,,140,213,Las Delicias,United Kingdom
,33386,Dressel 20,Bardon Mill,Period VIB,54.966667,-2.333333,[II]AVRH[ERACLAE]/PATETF'[ILIFBAR],IIAVRHERACLAEPATETFILIFBAR,,200,212,,United Kingdom
,33387,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,[IIIAV]RHERACLA[E]/[PATE]TFILFBAR,IIAVRHERACLAEPATETFILFBAR,,,,,United Kingdom
,33388,Dressel 20,Bardon Mill,Period VIA,54.966667,-2.333333,|IIIENNIORIVLSAE|,IIIENNIORIVLSAE,,180,200,huerta del río,United Kingdom
,33389,Dressel 20,Bardon Mill,Period VI,54.966667,-2.333333,|LAFP|,LAFP,,160,180,,United Kingdom
,33390,Dressel 20,Bardon Mill,Period VII,54.966667,-2.333333,|L·Q·A|,LQA,,,,,United Kingdom
,33391,Dressel 20,Bardon Mill,Period VI,54.966667,-2.333333,|LQs''C'',LQSC,,160,180,Alcolea del Río,United Kingdom
,33392,Dressel 20,Bardon Mill,Period VI,54.966667,-2.333333,MC[L]SH,MCLSH,,160,180,,United Kingdom
,33393,Dressel 20,Bardon Mill,Period VIB,54.966667,-2.333333,|MIAPM^A|,MIAPMA,,200,212,El Marchante,United Kingdom
,33394,Dressel 20,Bardon Mill,Period VII,54.966667,-2.333333,[M]S^EH^EL·C|,MSEHELC,,200,213,,United Kingdom
,33395,Dressel 20,Bardon Mill,Period VII-VIII,54.966667,-2.333333,|OLEASTRO|,OLEASTRO,,212,360,El Sotillo,United Kingdom
,33396,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,360,400,Alcolea del Río,United Kingdom
,33396,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,360,400,Arva,United Kingdom
,33396,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,360,400,El Tejarillo,United Kingdom
,33396,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,360,400,Tostoneras,United Kingdom
,33397,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,360,400,Alcolea del Río,United Kingdom
,33397,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,360,400,Arva,United Kingdom
,33397,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,360,400,El Tejarillo,United Kingdom
,33397,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,360,400,Tostoneras,United Kingdom
,33398,Dressel 20,Bardon Mill,Period VIA,54.966667,-2.333333,|QA'[--]E·P>O|,QAEPO,,180,200,,United Kingdom
,33399,Dressel 20,Bardon Mill,Period VIB,54.966667,-2.333333,|QIM|,QIM,,200,212,,United Kingdom
,33400,Dressel 20,Bardon Mill,Period VI-VII,54.966667,-2.333333,QIM/S!,QIMS,,140,213,Arva,United Kingdom
,33401,Dressel 20,Bardon Mill,Period VIB,54.966667,-2.333333,|QMR|,QMR,,200,212,,United Kingdom
,33402,Dressel 20,Bardon Mill,Period V,54.966667,-2.333333,|SANNIRGR|,SANNIRGR,,120,140,,United Kingdom
,33403,Dressel 20,Bardon Mill,Period VI,54.966667,-2.333333,|SCA^LCELS|,SCALCELS,,160,180,Cerro de los Pesebres,United Kingdom
,33404,Dressel 20,Bardon Mill,Period VIA,54.966667,-2.333333,|SCALHER|,SCALHER,,180,200,Cerro de los Pesebres,United Kingdom
,33405,Dressel 20,Bardon Mill,Period VIA-VII,54.966667,-2.333333,|SER+,SER…,,160,213,,United Kingdom
,33406,Dressel 20,Bardon Mill,Period II-IV,54.966667,-2.333333,|SEI+,SEI…,,90,120,,United Kingdom
,33408,Dressel 20,Bardon Mill,Period III-IV,54.966667,-2.333333,+MI''V''S''+,…MIVS…,,100,120,,United Kingdom
,15814,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,M^M^ACS^V+,MMCSV...,,142,165,Alcolea del Río,United Kingdom
,15814,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,M^M^ACS^V+,MMCSV...,,142,165,El Tejarillo,United Kingdom
,16450,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,|GNAPCO''|,GNAPCO,,142,165,,United Kingdom
,16499,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,"SNR, sine imagine",SNR,,142,165,La Catria,United Kingdom
,16778,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,|LSPB''OEQ|,LSPBOEQ,,142,165,Adelfa,United Kingdom
