id,lat,long,type,site,code,country,locationtype
14320,49.984188,8.279096,Dressel 20,Mainz,LFCCV,Germany,Military Camp
14323,49.984188,8.279096,Dressel 20,Mainz,LFCCVCAT,Germany,Military Camp
14329,49.984188,8.279096,Dressel 20,Mainz,QFCF,Germany,Military Camp
14354,49.984188,8.279096,Dressel 20,Mainz,LEFPC,Germany,Military Camp
14367,49.984188,8.279096,Dressel 20,Mainz,FMFA,Germany,Military Camp
14383,49.984188,8.279096,Dressel 20,Mainz,CFVA,Germany,Military Camp
14421,49.984188,8.279096,Dressel 20,Mainz,QIAFS,Germany,Military Camp
14422,49.984188,8.279096,Dressel 20,Mainz,QIAFS,Germany,Military Camp
14423,49.984188,8.279096,Dressel 20,Mainz,QIAFS,Germany,Military Camp
14454,49.984188,8.279096,Dressel 20,Mainz,QICSEC,Germany,Military Camp
14462,49.984188,8.279096,Dressel 20,Mainz,MIM,Germany,Military Camp
14466,49.984188,8.279096,Dressel 20,Mainz,MIM,Germany,Military Camp
14533,49.984188,8.279096,Dressel 20,Mainz,LIT,Germany,Military Camp
14542,49.984188,8.279096,Dressel 20,Mainz,PIVLICRISPI,Germany,Military Camp
14552,49.984188,8.279096,Dressel 20,Mainz,CIVNIHEBVRI,Germany,Military Camp
14554,49.984188,8.279096,Dressel 20,Mainz,CIVNIHEBVRI,Germany,Military Camp
14603,49.984188,8.279096,Dressel 20,Mainz,ALFO,Germany,Military Camp
14605,49.984188,8.279096,Dressel 20,Mainz,AELFO,Germany,Military Camp
14616,49.984188,8.279096,Dressel 20,Mainz,GMMF,Germany,Military Camp
14703,49.984188,8.279096,Dressel 20,Mainz,SNR,Germany,Military Camp
14730,49.984188,8.279096,Dressel 20,Mainz,CONSFC,Germany,Military Camp
14736,49.984188,8.279096,Dressel 20,Mainz,POROCODV,Germany,Military Camp
14831,49.984188,8.279096,Dressel 20,Mainz,PRI,Germany,Military Camp
14849,49.984188,8.279096,Dressel 20,Mainz,PORPSA,Germany,Military Camp
14854,49.984188,8.279096,Dressel 20,Mainz,LSLVPI,Germany,Military Camp
14862,49.984188,8.279096,Dressel 20,Mainz,LSPBO,Germany,Military Camp
14878,49.984188,8.279096,Dressel 20,Mainz,QSASER,Germany,Military Camp
14911,49.984188,8.279096,Dressel 20,Mainz,SAXOFERRI,Germany,Military Camp
14934,49.984188,8.279096,Dressel 20,Mainz,FSCIMNIANO,Germany,Military Camp
14935,49.984188,8.279096,Dressel 20,Mainz,FSCIMNIANO,Germany,Military Camp
14940,49.984188,8.279096,Dressel 20,Mainz,STATIANIENSIA,Germany,Military Camp
14944,49.984188,8.279096,Dressel 20,Mainz,STCA,Germany,Military Camp
14953,49.984188,8.279096,Dressel 20,Mainz,LVA,Germany,Military Camp
14987,49.984188,8.279096,Dressel 20,Mainz,VIRGIN,Germany,Military Camp
18898,49.984188,8.279096,Dressel 20,Mainz,PAC,Germany,Military Camp
18899,49.984188,8.279096,Dressel 20,Mainz,PQAF,Germany,Military Camp
18900,49.984188,8.279096,Dressel 20,Mainz,CALF,Germany,Military Camp
18908,49.984188,8.279096,Dressel 20,Mainz,CAE,Germany,Military Camp
18923,49.984188,8.279096,Dressel 20,Mainz,ACIRCIF,Germany,Military Camp
18930,49.984188,8.279096,Dressel 20,Mainz,AVGN,Germany,Military Camp
18936,49.984188,8.279096,Dressel 20,Mainz,LCFPO,Germany,Military Camp
18937,49.984188,8.279096,Dressel 20,Mainz,QCI,Germany,Military Camp
18938,49.984188,8.279096,Dressel 20,Mainz,SCLC,Germany,Military Camp
18939,49.984188,8.279096,Dressel 20,Mainz,SCLC,Germany,Military Camp
18940,49.984188,8.279096,Dressel 20,Mainz,VCLC,Germany,Military Camp
18941,49.984188,8.279096,Dressel 20,Mainz,PCM,Germany,Military Camp
18942,49.984188,8.279096,Dressel 20,Mainz,QCR,Germany,Military Camp
18943,49.984188,8.279096,Dressel 20,Mainz,QCR,Germany,Military Camp
18944,49.984188,8.279096,Dressel 20,Mainz,QCR,Germany,Military Camp
18945,49.984188,8.279096,Dressel 20,Mainz,QCRM,Germany,Military Camp
18962,49.984188,8.279096,Dressel 20,Mainz,CEFP,Germany,Military Camp
18963,49.984188,8.279096,Dressel 20,Mainz,PELC,Germany,Military Camp
18973,49.984188,8.279096,Dressel 20,Mainz,MFC,Germany,Military Camp
18989,49.984188,8.279096,Dressel 20,Mainz,GIALB,Germany,Military Camp
19063,49.984188,8.279096,Dressel 20,Mainz,FPATERNI,Germany,Military Camp
19351,49.984188,8.279096,Dressel 20,Mainz,SINEIMAGINE,Germany,Military Camp
19364,49.984188,8.279096,Dressel 20,Mainz,QSP,Germany,Military Camp
19365,49.984188,8.279096,Dressel 20,Mainz,QSP,Germany,Military Camp
19375,49.984188,8.279096,Dressel 20,Mainz,SNR,Germany,Military Camp
19379,49.984188,8.279096,Dressel 20,Mainz,SAMIS,Germany,Military Camp
19387,49.984188,8.279096,Dressel 20,Mainz,SECVNDI,Germany,Military Camp
19388,49.984188,8.279096,Dressel 20,Mainz,SER,Germany,Military Camp
19420,49.984188,8.279096,Dressel 20,Mainz,SINEIMAGINE,Germany,Military Camp
37023,49.984188,8.279096,Dressel 20,Mainz,ALFO,Germany,Military Camp
27854,50.009937,8.282909,Dressel 20,Mainz-Kastel,LAEL,Germany,Military Camp
14209,47.948948,7.673177,Dressel 20,Neumagen,MMCSVR,Germany,Military Camp
13964,51.198071,6.685037,Dressel 20,Neuss,CAPXIV,Germany,Military Camp
14150,51.198071,6.685037,Dressel 20,Neuss,LCFPCE,Germany,Military Camp
14181,51.198071,6.685037,Dressel 20,Neuss,LCM,Germany,Military Camp
14260,51.198071,6.685037,Dressel 20,Neuss,IIIENNIORIVLSAE,Germany,Military Camp
14388,51.198071,6.685037,Dressel 20,Neuss,MFLAVIT,Germany,Military Camp
14416,51.198071,6.685037,Dressel 20,Neuss,MIAPMA,Germany,Military Camp
14470,51.198071,6.685037,Dressel 20,Neuss,MIM,Germany,Military Camp
14884,51.198071,6.685037,Dressel 20,Neuss,ILSLSEN,Germany,Military Camp
14903,51.198071,6.685037,Dressel 20,Neuss,SAENIANE,Germany,Military Camp
14964,51.198071,6.685037,Dressel 20,Neuss,LVIVCV,Germany,Military Camp
14973,51.198071,6.685037,Dressel 20,Neuss,LVALTROPHIMI,Germany,Military Camp
20649,50.325846,8.874742,Dressel 20,Oberflorstadt,APH,Germany,Military Camp
13962,48.7119,11.455324,Dressel 20,Oberstimm,PORTANV,Germany,Military Camp
12700,49.034512,12.119234,Dressel 20,Regensburg,LSLPAMPHORA,Germany,Military Camp
12701,49.034512,12.119234,Dressel 20,Regensburg,QIMFN,Germany,Military Camp
12702,49.034512,12.119234,Dressel 20,Regensburg,COI,Germany,Military Camp
14025,48.270991,9.825866,Dressel 20,Risstissen,CANTONIQVIETI,Germany,Military Camp
12004,48.476092,8.93975,Dressel 20,Rottenburg,POROCC,Germany,Military Camp
14448,48.476092,8.93975,Dressel 20,Rottenburg,CIALB,Germany,Military Camp
13941,50.271515,8.566917,Dressel 20,Saalburg,GAF,Germany,Military Camp
13949,50.271515,8.566917,Dressel 20,Saalburg,CAFFP,Germany,Military Camp
13950,50.271515,8.566917,Dressel 20,Saalburg,CAFSM,Germany,Military Camp
13967,50.271515,8.566917,Dressel 20,Saalburg,LVALEME,Germany,Military Camp
13990,50.271515,8.566917,Dressel 20,Saalburg,LHEDERAAE,Germany,Military Camp
14051,50.271515,8.566917,Dressel 20,Saalburg,PAPRV,Germany,Military Camp
14060,50.271515,8.566917,Dressel 20,Saalburg,PATTO,Germany,Military Camp
14079,50.271515,8.566917,Dressel 20,Saalburg,ACIRGI,Germany,Military Camp
14080,50.271515,8.566917,Dressel 20,Saalburg,ACIRGI,Germany,Military Camp
14094,50.271515,8.566917,Dressel 20,Saalburg,MSMACIRGI,Germany,Military Camp
14111,50.271515,8.566917,Dressel 20,Saalburg,BELIC,Germany,Military Camp
