"","id","lat","long","type","site","code","country","locationtype"
"184",18937,49.984188,8.279096,"Dressel 20","Mainz","QCI","Germany","Military Camp"
"185",18938,49.984188,8.279096,"Dressel 20","Mainz","SCLC","Germany","Military Camp"
"186",18939,49.984188,8.279096,"Dressel 20","Mainz","SCLC","Germany","Military Camp"
"187",18940,49.984188,8.279096,"Dressel 20","Mainz","VCLC","Germany","Military Camp"
"188",18941,49.984188,8.279096,"Dressel 20","Mainz","PCM","Germany","Military Camp"
"189",18942,49.984188,8.279096,"Dressel 20","Mainz","QCR","Germany","Military Camp"
"190",18943,49.984188,8.279096,"Dressel 20","Mainz","QCR","Germany","Military Camp"
"191",18944,49.984188,8.279096,"Dressel 20","Mainz","QCR","Germany","Military Camp"
"192",18945,49.984188,8.279096,"Dressel 20","Mainz","QCRM","Germany","Military Camp"
"193",18962,49.984188,8.279096,"Dressel 20","Mainz","CEFP","Germany","Military Camp"
"194",18963,49.984188,8.279096,"Dressel 20","Mainz","PELC","Germany","Military Camp"
"195",18973,49.984188,8.279096,"Dressel 20","Mainz","MFC","Germany","Military Camp"
"196",18989,49.984188,8.279096,"Dressel 20","Mainz","GIALB","Germany","Military Camp"
"197",19063,49.984188,8.279096,"Dressel 20","Mainz","FPATERNI","Germany","Military Camp"
"198",19351,49.984188,8.279096,"Dressel 20","Mainz","SINEIMAGINE","Germany","Military Camp"
"199",19364,49.984188,8.279096,"Dressel 20","Mainz","QSP","Germany","Military Camp"
"200",19365,49.984188,8.279096,"Dressel 20","Mainz","QSP","Germany","Military Camp"
"201",19375,49.984188,8.279096,"Dressel 20","Mainz","SNR","Germany","Military Camp"
"202",19379,49.984188,8.279096,"Dressel 20","Mainz","SAMIS","Germany","Military Camp"
"203",19387,49.984188,8.279096,"Dressel 20","Mainz","SECVNDI","Germany","Military Camp"
"204",19388,49.984188,8.279096,"Dressel 20","Mainz","SER","Germany","Military Camp"
"205",19420,49.984188,8.279096,"Dressel 20","Mainz","SINEIMAGINE","Germany","Military Camp"
"206",37023,49.984188,8.279096,"Dressel 20","Mainz","ALFO","Germany","Military Camp"
"209",13964,51.198071,6.685037,"Dressel 20","Neuss","CAPXIV","Germany","Military Camp"
"210",14150,51.198071,6.685037,"Dressel 20","Neuss","LCFPCE","Germany","Military Camp"
"211",14181,51.198071,6.685037,"Dressel 20","Neuss","LCM","Germany","Military Camp"
"212",14260,51.198071,6.685037,"Dressel 20","Neuss","IIIENNIORIVLSAE","Germany","Military Camp"
"213",14388,51.198071,6.685037,"Dressel 20","Neuss","MFLAVIT","Germany","Military Camp"
"214",14416,51.198071,6.685037,"Dressel 20","Neuss","MIAPMA","Germany","Military Camp"
"215",14470,51.198071,6.685037,"Dressel 20","Neuss","MIM","Germany","Military Camp"
"216",14884,51.198071,6.685037,"Dressel 20","Neuss","ILSLSEN","Germany","Military Camp"
"217",14903,51.198071,6.685037,"Dressel 20","Neuss","SAENIANE","Germany","Military Camp"
"218",14964,51.198071,6.685037,"Dressel 20","Neuss","LVIVCV","Germany","Military Camp"
"219",14973,51.198071,6.685037,"Dressel 20","Neuss","LVALTROPHIMI","Germany","Military Camp"
"228",13941,50.271515,8.566917,"Dressel 20","Saalburg","GAF","Germany","Military Camp"
"229",13949,50.271515,8.566917,"Dressel 20","Saalburg","CAFFP","Germany","Military Camp"
"230",13950,50.271515,8.566917,"Dressel 20","Saalburg","CAFSM","Germany","Military Camp"
"231",13967,50.271515,8.566917,"Dressel 20","Saalburg","LVALEME","Germany","Military Camp"
"232",13990,50.271515,8.566917,"Dressel 20","Saalburg","LHEDERAAE","Germany","Military Camp"
"233",14051,50.271515,8.566917,"Dressel 20","Saalburg","PAPRV","Germany","Military Camp"
"234",14060,50.271515,8.566917,"Dressel 20","Saalburg","PATTO","Germany","Military Camp"
"235",14079,50.271515,8.566917,"Dressel 20","Saalburg","ACIRGI","Germany","Military Camp"
"236",14080,50.271515,8.566917,"Dressel 20","Saalburg","ACIRGI","Germany","Military Camp"
"237",14094,50.271515,8.566917,"Dressel 20","Saalburg","MSMACIRGI","Germany","Military Camp"
"238",14111,50.271515,8.566917,"Dressel 20","Saalburg","BELIC","Germany","Military Camp"
"239",14114,50.271515,8.566917,"Dressel 20","Saalburg","BEL","Germany","Military Camp"
"240",14116,50.271515,8.566917,"Dressel 20","Saalburg","BELI","Germany","Military Camp"
"241",14126,50.271515,8.566917,"Dressel 20","Saalburg","MCC","Germany","Military Camp"
