id;lat;long;type;site;code;name
7184;-5.52751;37.658961;Dressel 20;Lora del Río;LIT;Baetica
11825;-5.09965;37.704938;Dressel 20;Fuente Palmera;VAR;Baetica
6647;-5.52751;37.658961;Dressel 20;Lora del Río;QAELIOPTATI;Baetica
11354;-5.281208;37.700239;Dressel 20;Palma del Río;BEL;Baetica
38856;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
6786;-5.52751;37.658961;Dressel 20;Lora del Río;CENNIHISPANI;Baetica
41683;-5.52751;37.658961;Dressel 20;Lora del Río;DIA;Baetica
11831;-5.09965;37.704938;Dressel 20;Fuente Palmera;ME;Baetica
12847;-5.082599;37.542203;Dressel 20;Écija;PSAVITI;Baetica
26747;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
6755;-5.52751;37.658961;Dressel 20;Lora del Río;GEF;Baetica
842;-5.233333;37.833333;Dressel 20;Hornachuelos;PARV;Baetica
38846;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
26690;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
7030;-5.52751;37.658961;Dressel 20;Lora del Río;POPVLI;Baetica
29661;-5.871389;37.549445;Dressel 20;Brenes;VIRI;Baetica
26694;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
911;-5.281208;37.700239;Dressel 20;Palma del Río;MCC;Baetica
38919;-5.082599;37.542203;Dressel 20;Écija;CAMILIMELISSI;Baetica
6658;-5.52751;37.658961;Dressel 20;Lora del Río;QAELIOPTATI;Baetica
12345;-5.082599;37.542203;Dressel 20;Écija;LFC;Baetica
11668;-5.02037;37.810702;Dressel 20;Almodóvar del Río;EC;Baetica
13118;-5.666942;37.615058;Dressel 20;Alcolea del Río;IICCLLM;Baetica
21238;-5.34504;37.708919;Dressel 20;Peñaflor;LASFIC;Baetica
11380;-5.281208;37.700239;Dressel 20;Palma del Río;SCAESI;Baetica
11208;-5.52751;37.658961;Dressel 20;Lora del Río;LSL;Baetica
38904;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
11105;-5.52751;37.658961;Dressel 20;Lora del Río;PAVR;Baetica
11193;-5.52751;37.658961;Dressel 20;Lora del Río;NC;Baetica
26678;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
26684;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
21229;-5.34504;37.708919;Dressel 20;Peñaflor;QAELIOPTATI;Baetica
28095;-5.666942;37.615058;Dressel 20;Alcolea del Río;LQS;Baetica
11593;-5.107258;37.802053;Dressel 20;Posadas;MAT;Baetica
5567;-5.666942;37.615058;Dressel 20;Alcolea del Río;IICCLLM;Baetica
41681;-5.52751;37.658961;Dressel 20;Lora del Río;FIGGRV;Baetica
29208;-5.52751;37.658961;Dressel 20;Lora del Río;CEFP;Baetica
13634;-5.646083;37.471248;Dressel 20;Carmona;AFRICAN;Baetica
10893;-5.082599;37.542203;Dressel 20;Écija;LFC;Baetica
41664;-5.52751;37.658961;Dressel 20;Lora del Río;CCRASSISEMNI;Baetica
5475;-5.107258;37.802053;Dressel 20;Posadas;AGRICOLAE;Baetica
12221;-5.09965;37.704938;Dressel 20;Fuente Palmera;FC;Baetica
26707;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
901;-5.233333;37.833333;Dressel 20;Hornachuelos;FSC;Baetica
13703;-5.52751;37.658961;Dressel 20;Lora del Río;CMM;Baetica
13527;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
33348;-5.52751;37.658961;Dressel 20;Lora del Río;CMM;Baetica
33353;-5.52751;37.658961;Dressel 20;Lora del Río;MHICA;Baetica
13218;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
13492;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
12357;-5.082599;37.542203;Dressel 20;Écija;LAVRELIGERMANI;Baetica
38817;-5.082599;37.542203;Dressel 20;Écija;GELAD;Baetica
38810;-5.082599;37.542203;Dressel 20;Écija;IVCVNDI;Baetica
38850;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
11253;-5.281208;37.700239;Dressel 20;Palma del Río;QAGEMELLI;Baetica
29600;-5.871389;37.549445;Dressel 20;Brenes;QVC;Baetica
38951;-5.082599;37.542203;Dressel 20;Écija;CAMILIMELISSI;Baetica
26697;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
33357;-5.52751;37.658961;Dressel 20;Lora del Río;QAEOPTA;Baetica
5563;-5.666942;37.615058;Dressel 20;Alcolea del Río;IICCLLM;Baetica
11244;-5.281208;37.700239;Dressel 20;Palma del Río;ATITTAE;Baetica
857;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
26738;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
6826;-5.52751;37.658961;Dressel 20;Lora del Río;MIM;Baetica
5574;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
38842;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
13173;-5.666942;37.615058;Dressel 20;Alcolea del Río;CANNIRFN;Baetica
38824;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
10935;-5.082599;37.542203;Dressel 20;Écija;IAIO;Baetica
11108;-5.52751;37.658961;Dressel 20;Lora del Río;LALFLALP;Baetica
11444;-5.281208;37.700239;Dressel 20;Palma del Río;LVIBICHOMIS;Baetica
10901;-5.082599;37.542203;Dressel 20;Écija;LFC;Baetica
13744;-5.52751;37.658961;Dressel 20;Lora del Río;CENNIHISPANI;Baetica
26696;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
11438;-5.281208;37.700239;Dressel 20;Palma del Río;LCT;Baetica
28090;-5.666942;37.615058;Dressel 20;Alcolea del Río;LQS;Baetica
41671;-5.52751;37.658961;Dressel 20;Lora del Río;LFFV;Baetica
6972;-5.52751;37.658961;Dressel 20;Lora del Río;POROCODV;Baetica
11480;-5.281208;37.700239;Dressel 20;Palma del Río;CIALB;Baetica
12335;-5.082599;37.542203;Dressel 20;Écija;LOCCAI;Baetica
12240;-5.107258;37.802053;Dressel 20;Posadas;MCA;Baetica
12922;-5.52751;37.658961;Dressel 20;Lora del Río;RHIVA;Baetica
10940;-5.082599;37.542203;Dressel 20;Écija;QIA;Baetica
11888;-5.973167;37.382826;Dressel 20;Seville;ACIRGI;Baetica
12855;-5.082599;37.542203;Dressel 20;Écija;LAVRGER;Baetica
41688;-5.52751;37.658961;Dressel 20;Lora del Río;LVRIFLVRIE;Baetica
12794;-5.646083;37.471248;Dressel 20;Carmona;LIC;Baetica
12407;-5.082599;37.542203;Dressel 20;Écija;QIA;Baetica
9556;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
11374;-5.281208;37.700239;Dressel 20;Palma del Río;SCAESI;Baetica
13513;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
