,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,,,,,,
,14657,Dressel 20,Butzbach,,50.433886,8.672684,"PMV, sine imagine",PMV,,,,,,,
,14244,Dressel 20,Dahlheim,,50.210231,7.69445,"DEMOSTENE, sine imagine",DEMOSTENE,,,,,,,
,37054,Dressel 20,Darmstadt,,49.871674,8.650271,"AGRICOLAE, sine imagine",AGRICOLAE,,,,,,,
,27403,Dressel 20,Dieburg,,49.897382,8.846132,[PA]RVA,PARVA,,,,,,,
,27403,Dressel 20,Dieburg,,49.897382,8.846132,|P·N·N|,PNN,,,,,,,
,27404,Dressel 20,Dieburg,,49.897382,8.846132,|QMR|,QMR,,,,,,,
,27406,Dressel 20,Dieburg,,49.897382,8.846132,|FSCIM/NIANO|,FSCIMNIANO,,,,,,,
,27407,Dressel 20,Dieburg,,49.897382,8.846132,L''FCCVCA[T],LFCCVCAT,,,,,,,
,27407,Dressel 20,Dieburg,,49.897382,8.846132,L''FCCVCA[T],LFCCVCAT,,,,,,,
,27408,Dressel 20,Dieburg,,49.897382,8.846132,[II]MINACRE^TC'[AL],IIMINACRETCAL,,,,,,,
,27409,Dressel 20,Dieburg,,49.897382,8.846132,*EF'c''*,…EFC…?,,,,,,,
,27410,Dressel 20,Dieburg,,49.897382,8.846132,QCM|,QCM,,,,,,,
,27411,Dressel 20,Dieburg,,49.897382,8.846132,|S·N·R|,SNR,,,,,,,
,27412,Dressel 20,Dieburg,,49.897382,8.846132,|P·A^RV^A|,PARVA,,,,,,,
,27413,Dressel 20,Dieburg,,49.897382,8.846132,|ACIRC,ACIRC,,,,,,,
,27414,Dressel 20,Dieburg,,49.897382,8.846132,MMCS~V^R,MMCSVR,,,,,,,
,27414,Dressel 20,Dieburg,,49.897382,8.846132,MMCS~V^R,MMCSVR,,,,,,,
,27415,Dressel 20,Dieburg,,49.897382,8.846132,|F''ICIN^A'*,FICINA…?,,,,,,,
,27416,Dressel 20,Dieburg,,49.897382,8.846132,|COL''|,COL?,,,,,,,
,27417,Dressel 20,Dieburg,,49.897382,8.846132,[IIIE]N''N·IV^L((palma)),IIIENNIVL((PALMA)),,,,,,,
,27418,Dressel 20,Dieburg,,49.897382,8.846132,QFRRIV|,QFRRIV,,,,,,,
,27423,Dressel 20,Dieburg,,49.897382,8.846132,|AS|,AS,,,,,,,
,27423,Dressel 20,Dieburg,,49.897382,8.846132,|SV^PERST<IS(-)FIIC|,SVPERSTISFEC (SVPERSTITISFIIC),,,,,,,
,13963,Dressel 20,Echzell,,50.390265,8.886115,|PTAN|,PTAN,,,,,,,
,12698,Dressel 20,Eining,,48.85632,11.772216,[AC]IRGI,ACIRGI,,,,,,,
,14224,Dressel 20,Eisenberg,,49.558592,8.071989,"PCLODIICELI, sine imagine",PCLODIICELI,,,,,,,
,14240,Dressel 20,Eisenberg,,49.558592,8.071989,"CALPC, sine imagine",CALPC,,,,,,,
,14908,Dressel 20,Emerkingen,,48.212485,9.657342,|SA^T^V^RNINI|,SATVRNINI,,,,,,,
,14726,Dressel 20,Ensch,,49.828532,6.832807,"DOMS, sine imagine",DOMS,,,,,,,
,14124,Dressel 20,Faimingen,,48.561354,10.409055,"LCANTP, sine imagine",LCANTP,,,,,,,
,11994,Dressel 20,Fellbach,,48.815624,9.277806,|IICCLM'M'*,IICCLMM,,,,,,,
,14761,Dressel 20,Fliessem,,50.023811,6.541303,"APM, sine imagine",APM,,,,,,,
,12016,Dressel 20,Frankfurt am Main,,50.11552,8.684167,CCXV,CCXV {125},,,,,,,
,12016,Dressel 20,Frankfurt am Main,,50.11552,8.684167,Fisci Rationis Patrim(onis)/ Provinciae Baeticae,Fisci rationis patrimonis/ Provinciae Baeticae,,,,,,,
,12016,Dressel 20,Frankfurt am Main,,50.11552,8.684167,[---]X[----],…X…,,,,,,,
,13945,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|L((hedera))A((hedera))F|,LAF,,,,,,,
,13955,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|POR^TPAH|,PORTPAH,,,,,,,
,13959,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|SALS,SALS,,,,,,,
,13965,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|L·A·P*,LAP...,,,,,,,
,13966,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|L·APAE^T|,LAPAET,,,,,,,
,13983,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|CAS|,CAS...,,,,,,,
,13999,Dressel 20,Frankfurt am Main,,50.11552,8.684167,M^A^EMRVS'|,MAEMRVS,,,,,,,
,14002,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|M^A^EM^RVS|,MAEMRVS,,,,,,,
,14004,Dressel 20,Frankfurt am Main,,50.11552,8.684167,"|F·ALB·LIC|, bis impressum est",FALBLIC,,,,,,,
,14047,Dressel 20,Frankfurt am Main,,50.11552,8.684167,[C]A^P·F|,CAPF,,,,,,,
,14061,Dressel 20,Frankfurt am Main,,50.11552,8.684167,T'AAS^IA^T^IC^I|,TATILIASIATICI,,,,,,,
,14061,Dressel 20,Frankfurt am Main,,50.11552,8.684167,T'AAS^IA^T^IC^I|,TATILIASIATICI,,,,,,,
,14061,Dressel 20,Frankfurt am Main,,50.11552,8.684167,T'AAS^IA^T^IC^I|,TATILIASIATICI,,,,,,,
,14067,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|ACIRGIF|,ACIRGIF,,,,,,,
,14068,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|ACIRGIF|,ACIRGIF,,,,,,,
,14071,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|ACIRG|,ACIRG,,,,,,,
,14077,Dressel 20,Frankfurt am Main,,50.11552,8.684167,[AC]I'RGI|,ACIRGI,,,,,,,
,14078,Dressel 20,Frankfurt am Main,,50.11552,8.684167,[ACI]RGI|,ACIRGI,,,,,,,
,14097,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|AGRICOLA^E'|,AGRICOLAE,,,,,,,
,14098,Dressel 20,Frankfurt am Main,,50.11552,8.684167,A'GRICO<LA^E|,AGRICOLAE,,,,,,,
,14103,Dressel 20,Frankfurt am Main,,50.11552,8.684167,A'RA'X'IFM|,ARAXIFM (ARAXIEM),,,,,,,
,14105,Dressel 20,Frankfurt am Main,,50.11552,8.684167,[PA]RVA|,PARVA,,,,,,,
,14106,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|ARVP'|,ARVP,,,,,,,
,14112,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|BELL|,BELL,,,,,,,
,14129,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|Q((palma))C((palma))C|,QCC,,,,,,,
,14138,Dressel 20,Frankfurt am Main,,50.11552,8.684167,"Q·C·C'E, sine imagine",QCCE,,,,,,,
,14143,Dressel 20,Frankfurt am Main,,50.11552,8.684167,"|QCCL+, bis impressum est",QCCL…,,,,,,,
,14146,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|L''·C''·F''·P''·C·((hedera))| & |L''·C''·F''·P''·C·O|,LCFPCO & LCFPC,,,,,,,
,14149,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|L'C'F'P'C·[O?],LCFPCE,,,,,,,
,14153,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|LCHE|,LCHE,,,,,,,
,14159,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|S·C·L·C|,SCLC,,,,,,,
,14160,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|SCLH|,SCLH,,,,,,,
,14169,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|LCM|,LCM,,,,,,,
,14176,Dressel 20,Frankfurt am Main,,50.11552,8.684167,L'CM^Y|,LCMY,,,,,,,
,14185,Dressel 20,Frankfurt am Main,,50.11552,8.684167,"QCM, sine imagine",QCM,,,,,,,
,14190,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|QCR|,QCR,,,,,,,
,14196,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|MCS|,MCS,,,,,,,
,14206,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|MMCS^V^R|,MMCSVR,,,,,,,
,14206,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|MMCS^V^R|,MMCSVR,,,,,,,
,14217,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|IIC^AMILI|/|MELISSI|,IICAMILIMELISSI,,,,,,,
,14217,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|IIC^AMILI|/|MELISSI|,IICAMILIMELISSI,,,,,,,
,14231,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|Q·COCL|,QCOCL,,,,,,,
,14232,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|QCOCL!,QCOCL,,,,,,,
,14236,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|CA^L^PV^RN^IC|,CALPVRNIC,,,,,,,
,14241,Dressel 20,Frankfurt am Main,,50.11552,8.684167,"F·CERAR'I'A', bis impressum est",FCERARIA,,,,,,,
,14245,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|PEA^N^T'|,PEANT,,,,,,,
,14246,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|MEEV^P^R'[O]*,MEEVPRO,,,,,,,
,14250,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|CENH^ISPSA^E|,CENHISPSAE,,,,,,,
,14251,Dressel 20,Frankfurt am Main,,50.11552,8.684167,|IIIENN^I·IV^L((palma))|,IIIENNIIVL,,,,,,,
,14270,Dressel 20,Frankfurt am Main,,50.11552,8.684167,"ELPIST, sine imagine",ELPIST,,,,,,,
