AreaTitle,AmphoraIdentifier,AmphoricTypeTitle,SimplifiedTranscription,FullTranscription,FindingPlaceLongitude,FindingPlaceLatitude,FindingPlaceTitle,ProductionPlaceTitle,ProductionPlaceLatitude,ProductionPlaceLongitude,CountryTitle,,,,
Bonn,14891,Dressel 20,LSERALB,|LSERALB'|,7.095485,50.73438,Theaterstrasse/Engeltalstrasse,,,,Germany,,,,
Bonn,14904,Dressel 20,ASAENI,"ASAENI, sine imagine",7.095485,50.73438,Bonn,huerta del río,37.660348,-5.507948,Germany,,,,
Bonn,14917,Dressel 20,SAXOFERREO,"SAXOFERREO, sine imagine",7.095485,50.73438,Bonn,Arva,37.623647,-5.604665,Germany,,,,
Bonn,14917,Dressel 20,SAXOFERREO,"SAXOFERREO, sine imagine",7.095485,50.73438,Bonn,Huerta de Belén,37.720746,-5.292363,Germany,,,,
Bonn,14922,Dressel 20,SAXFERRIVS,"SAXFERRIVS, sine imagine",7.095485,50.73438,Bonn,,,,Germany,,,,
Bonn,14928,Dressel 20,SCALCELS,"SCALCELS, sine imagine",7.095485,50.73438,Bonn,Cerro de los Pesebres,37.752937,-5.211861,Germany,,,,
Bonn,14995,Dressel 20,VIR...?,"VIR+, sine imagine",7.095485,50.73438,Bonn,,,,Germany,,,,
Bonn,17921,Dressel 20,CIVENALBEP,|CIVEN'A^LBEP,7.095485,50.73438,Bonn,Malpica,37.671559,-5.20847,Germany,,,,
Bonn,20477,Dressel 20,GAF,|G·A·[F],7.095485,50.73438,Bonn,Azanaque-Castillejo,37.617631,-5.556263,Germany,,,,
Burghöfe,14028,Dressel 20,CANTONIQVIETI,[C]A'N^TO'N^IQ'V'I^E'T^I'|,10.825275,48.6457,Burghöfe,Alcolea del Río,37.615812,-5.668155,Germany,,,,
Burghöfe,14096,Dressel 20,AFRICANI,|A^FRICAN'I'|,10.825275,48.6457,Donau-Ries-Kreis,,,,Germany,,,,
Butzbach,14327,Dressel 20,QFC,Q·F·'C|,8.672684,50.433886,Kastell Butzbach,Peñaflor,37.70557,-5.348518,Germany,,,,
Butzbach,14344,Dressel 20,SFE,"SFE, sine imagine",8.672684,50.433886,Kastell Butzbach,,,,Germany,,,,
Butzbach,14459,Dressel 20,LIDFITALICAE,|LIDFITALICA^E|,8.672684,50.433886,jüngeres Steinkastell B,,,,Germany,,,,
Butzbach,14493,Dressel 20,QIMFN,"QIMFN, sine imagine",8.672684,50.433886,Kastell Butzbach,Malpica,37.671559,-5.20847,Germany,,,,
Butzbach,14507,Dressel 20,QIMF & QIMF…,|QIM!F*,8.672684,50.433886,Kastell Butzbach,El Judío,37.624871,-5.550459,Germany,,,,
Butzbach,14657,Dressel 20,PMV,"PMV, sine imagine",8.672684,50.433886,Kastell Butzbach,,,,Germany,,,,
Dahlheim,14244,Dressel 20,DEMOSTENE,"DEMOSTENE, sine imagine",7.69445,50.210231,Dahlheim,,,,Germany,,,,
Darmstadt,37054,Dressel 20,AGRICOLAE,"AGRICOLAE, sine imagine",8.650271,49.871674,Esch Estate,Casa de Mingaobez,37.80185,-5.072722,Germany,,,,
Dieburg,27403,Dressel 20,PARVA,[PA]RVA,8.846132,49.897382,Dieburg,La Catria,37.648779,-5.506146,Germany,,,,
Dieburg,27403,Dressel 20,PNN,|P·N·N|,8.846132,49.897382,Dieburg,La Catria,37.648779,-5.506146,Germany,,,,
Dieburg,27404,Dressel 20,QMR,|QMR|,8.846132,49.897382,Dieburg,,,,Germany,,,,
Dieburg,27406,Dressel 20,FSCIMNIANO,|FSCIM/NIANO|,8.846132,49.897382,"Nr. 23, Bef. 13.",Las Delicias,37.585951,-5.088429,Germany,,,,
Dieburg,27407,Dressel 20,LFCCVCAT,L''FCCVCA[T],8.846132,49.897382,"Nr. 67, FZ 3, Bef. 1, Abgraben zu Pl. II.",Isla del Castillo,37.621484,-5.134134,Germany,,,,
Dieburg,27407,Dressel 20,LFCCVCAT,L''FCCVCA[T],8.846132,49.897382,"Nr. 67, FZ 3, Bef. 1, Abgraben zu Pl. II.",Las Ánimas,37.635572,-5.153187,Germany,,,,
Dieburg,27408,Dressel 20,IIMINACRETCAL,[II]MINACRE^TC'[AL],8.846132,49.897382,Dieburg,,,,Germany,,,,
Dieburg,27409,Dressel 20,…EFC…?,*EF'c''*,8.846132,49.897382,Dieburg,,,,Germany,,,,
Dieburg,27410,Dressel 20,QCM,QCM|,8.846132,49.897382,"Bef. 282, FZ 9856, Fläche 10, unter Pl. 1.",,,,Germany,,,,
Dieburg,27411,Dressel 20,SNR,|S·N·R|,8.846132,49.897382,Theobaldsgraben.,La Catria,37.648779,-5.506146,Germany,,,,
Dieburg,27412,Dressel 20,PARVA,|P·A^RV^A|,8.846132,49.897382,"Alstadt 29, Steg zwischen I und II.",La Catria,37.648779,-5.506146,Germany,,,,
